Tick 2(0), Delay 443 ms, IGT 00:00.000, RTA 00:00.-443-00:00.000, due world load
Tick 3(1), Delay 82 ms, IGT 00:00.014, RTA 00:00.-60-00:00.022
Tick 4(2), Delay 0 ms, IGT 00:00.064, RTA 00:00.022-00:00.022
Tick 15(13), Delay 79 ms, IGT 00:00.614, RTA 00:00.520-00:00.599
Tick 16(14), Delay 18 ms, IGT 00:00.664, RTA 00:00.599-00:00.617
Tick 20(18), Delay 64 ms, IGT 00:00.864, RTA 00:00.770-00:00.834
Tick 21(19), Delay 62 ms, IGT 00:00.914, RTA 00:00.834-00:00.896
Tick 22(20), Delay 34 ms, IGT 00:00.964, RTA 00:00.896-00:00.930
Tick 23(21), Delay 67 ms, IGT 00:01.014, RTA 00:00.930-00:00.997
Tick 24(22), Delay 34 ms, IGT 00:01.064, RTA 00:00.997-00:01.031
Tick 25(23), Delay 55 ms, IGT 00:01.114, RTA 00:01.031-00:01.086
Tick 26(24), Delay 84 ms, IGT 00:01.164, RTA 00:01.086-00:01.170
Tick 27(25), Delay 0 ms, IGT 00:01.214, RTA 00:01.170-00:01.170
Tick 28(26), Delay 60 ms, IGT 00:01.264, RTA 00:01.170-00:01.230
Tick 29(27), Delay 6280 ms, IGT 00:01.314, RTA 00:01.230-00:07.510
Tick 138(136), Delay 55 ms, IGT 00:06.764, RTA 00:12.910-00:12.965
Tick 213(211), Delay 11986 ms, IGT 00:10.514, RTA 00:16.660-00:28.646
Tick 231(229), Delay 75 ms, IGT 00:11.414, RTA 00:29.496-00:29.571
Tick 232(230), Delay 23 ms, IGT 00:11.464, RTA 00:29.571-00:29.594
Tick 371(369), Delay 61 ms, IGT 00:18.414, RTA 00:36.496-00:36.557
Tick 372(370), Delay 58 ms, IGT 00:18.464, RTA 00:36.557-00:36.615
Tick 373(371), Delay 31 ms, IGT 00:18.514, RTA 00:36.615-00:36.646
Tick 374(372), Delay 62 ms, IGT 00:18.564, RTA 00:36.646-00:36.708
Tick 375(373), Delay 58 ms, IGT 00:18.614, RTA 00:36.708-00:36.766
Tick 376(374), Delay 31 ms, IGT 00:18.664, RTA 00:36.766-00:36.797
Tick 1188(1186), Delay 40756 ms, IGT 00:59.264, RTA 01:17.345-01:58.101
Tick 1197(1195), Delay 55 ms, IGT 00:59.714, RTA 01:58.501-01:58.556
Tick 1487(1485), Delay 63 ms, IGT 01:14.214, RTA 02:13.003-02:13.066
Tick 1488(1486), Delay 35 ms, IGT 01:14.264, RTA 02:13.066-02:13.101
Tick 1556(1554), Delay 39663 ms, IGT 01:17.664, RTA 02:16.452-02:56.115
Tick 1714(1712), Delay 56 ms, IGT 01:25.564, RTA 03:03.966-03:04.022
Tick 1715(1713), Delay 43 ms, IGT 01:25.614, RTA 03:04.022-03:04.065
Tick 1916(1913), Delay 470 ms, IGT 01:35.614, RTA 03:14.066-03:14.536
Tick 1917(1913), Delay 208082 ms, IGT 01:35.614, RTA 03:14.536-06:42.618
Tick 1918(1913), Delay 84 ms, IGT 01:35.614, RTA 06:42.618-06:42.702, due world load
Tick 1919(1914), Delay 4 ms, IGT 01:35.639, RTA 06:42.702-06:42.706
Tick 2269(2263), Delay 686 ms, IGT 01:53.089, RTA 07:00.153-07:00.839
Tick 2270(2263), Delay 17547 ms, IGT 01:53.089, RTA 07:00.839-07:18.386
Tick 2271(2263), Delay 86 ms, IGT 01:53.089, RTA 07:18.386-07:18.472, due world load
Tick 2272(2263), Delay 0 ms, IGT 01:53.089, RTA 07:18.472-07:18.472, due world load
Tick 2273(2264), Delay 32 ms, IGT 01:53.136, RTA 07:18.472-07:18.504
Tick 2541(2532), Delay 62 ms, IGT 02:06.536, RTA 07:31.858-07:31.920
Tick 2542(2533), Delay 33 ms, IGT 02:06.586, RTA 07:31.920-07:31.953
Tick 2543(2534), Delay 61 ms, IGT 02:06.636, RTA 07:31.953-07:32.014
Tick 2544(2535), Delay 61 ms, IGT 02:06.686, RTA 07:32.014-07:32.075
Tick 2545(2536), Delay 28 ms, IGT 02:06.736, RTA 07:32.075-07:32.103
Tick 2546(2537), Delay 63 ms, IGT 02:06.786, RTA 07:32.103-07:32.166
Tick 2547(2538), Delay 62 ms, IGT 02:06.836, RTA 07:32.166-07:32.228
Tick 2548(2539), Delay 56 ms, IGT 02:06.886, RTA 07:32.228-07:32.284
