No   IGT            Start RTA      End RTA        Length     Retime?    Reason / Notice
1    00:01.264      00:01.236      00:07.474      6.238      6.238      Paused by player, Unpause by player
2    00:10.464      00:16.706      00:28.623      11.917     11.917     Paused by player, Unpause by player
3    00:59.214      01:17.379      01:58.094      40.715     40.715     Paused by player, Unpause by player
4    01:17.614      02:16.457      02:56.114      39.657     39.657     Paused by player, Unpause by player
0    01:35.614      03:14.074      06:42.704      208.630               Paused by player, Unpause by rendered
0    01:53.089      07:00.190      07:18.474      18.284                Paused by player, Unpause by rendered
0    02:08.336      07:33.722      07:35.593      1.871                 Paused by player, Unpause by changed look direction
0    02:08.651      07:35.878      10:35.304      179.426               Paused by player, Unpause by changed look direction
0    02:50.618      11:17.266      18:03.373      406.107               Paused by player, Unpause by changed look direction
1    02:57.718      18:10.392      1:06:44.863    2914.471   2909.471   Paused by player, Unpause by player / changed option
2    03:27.518      1:07:14.651    1:07:30.267    15.616     15.616     Paused by player, Unpause by player
3    03:50.468      1:07:53.189    1:08:03.653    10.464     10.464     Paused by player, Unpause by player
4    04:10.818      1:08:23.959    1:08:31.465    7.506      7.506      Paused by player, Unpause by player
5    04:22.868      1:08:43.544    1:08:44.847    1.303      1.303      Paused by player, Unpause by player
6    04:38.018      1:08:59.989    1:09:04.480    4.491      4.491      Paused by player, Unpause by player
7    06:32.018      1:10:58.432    1:11:00.082    1.650      1.650      Paused by player, Unpause by player
8    06:48.218      1:11:16.284    1:11:22.261    5.977      5.977      Paused by player, Unpause by player
9    06:49.618      1:11:23.636    1:11:24.151    0.515      0.515      Paused by player, Unpause by player
10   06:56.868      1:11:31.358    1:11:36.575    5.217      5.217      Paused by player, Unpause by player
11   07:09.218      1:11:48.913    1:11:54.865    5.952      5.952      Paused by player, Unpause by player
12   07:36.068      1:12:21.707    1:12:52.311    30.604     30.604     Paused by player, Unpause by player
13   10:01.368      1:15:17.596    1:15:17.711    0.115                 Paused by changed dimension, Unpause by rendered
14   10:11.326      1:15:27.672    1:15:48.602    20.930     20.930     Paused by player, Unpause by player
0    10:11.676      1:15:48.966    1:16:22.148    33.182                Paused by player, Unpause by rendered
1    10:13.365      1:16:23.839    1:16:46.550    22.711     22.711     Paused by player, Unpause by player
2    10:13.915      1:16:47.070    1:16:50.107    3.037      3.037      Paused by player, Unpause by player
3    10:13.965      1:16:50.115    1:16:50.196    0.081                 Paused by changed dimension, Unpause by rendered
4    10:35.399      1:17:11.615    1:17:11.711    0.096                 Paused by changed dimension, Unpause by rendered
5    10:35.393      1:17:11.717    1:17:11.790    0.073                 Paused by changed dimension, Unpause by rendered
6    10:45.586      1:17:21.965    1:17:21.999    0.034                 Paused by changed dimension, Unpause by changed look direction
7    10:45.639      1:17:22.065    1:17:22.129    0.064                 Paused by changed dimension, Unpause by changed look direction
8    10:53.896      1:17:30.366    1:17:30.425    0.059                 Paused by changed dimension, Unpause by changed look direction
9    10:53.999      1:17:30.513    1:17:30.580    0.067                 Paused by changed dimension, Unpause by changed look direction
0    10:59.253      1:17:35.809    1:26:15.080    519.271               Paused by player, Unpause by changed look direction
1    11:01.406      1:26:17.161    1:26:17.255    0.094                 Paused by changed dimension, Unpause by rendered
2    11:01.391      1:26:17.265    1:26:17.340    0.075                 Paused by changed dimension, Unpause by rendered
3    11:06.338      1:26:22.278    1:26:30.277    7.999      7.999      Paused by player, Unpause by player
0    11:07.238      1:26:31.175    1:26:33.251    2.076                 Paused by player, Unpause by changed look direction
1    11:09.356      1:26:35.369    1:26:35.503    0.134                 Paused by changed dimension, Unpause by rendered
2    11:09.345      1:26:35.518    1:26:35.628    0.110                 Paused by changed dimension, Unpause by rendered
0    11:14.340      1:26:40.665    1:26:48.306    7.641                 Paused by player, Unpause by changed look direction
1    11:15.905      1:26:49.866    1:26:49.983    0.117                 Paused by changed dimension, Unpause by rendered
2    11:15.915      1:26:50.021    1:26:50.126    0.105                 Paused by changed dimension, Unpause by rendered
0    11:21.812      1:26:56.008    1:27:10.702    14.694                Paused by player, Unpause by changed look direction
1    11:22.577      1:27:11.473    1:27:11.509    0.036                 Paused by changed dimension, Unpause by moved mouse
2    11:22.733      1:27:11.704    1:27:11.763    0.059                 Paused by changed dimension, Unpause by rendered
0    11:28.331      1:27:17.379    1:30:32.871    195.492               Paused by player, Unpause by changed look direction
1    11:30.135      1:30:34.614    1:30:34.798    0.184                 Paused by changed dimension, Unpause by rendered
2    11:30.928      1:30:35.595    1:30:39.514    3.919      3.919      Paused by player, Unpause by player
3    11:34.878      1:30:43.453    1:30:43.575    0.122                 Paused by changed dimension, Unpause by rendered
4    11:45.773      1:30:54.467    1:30:54.496    0.029                 Paused by changed dimension, Unpause by changed look direction
5    11:46.378      1:30:55.076    1:31:07.372    12.296     12.296     Paused by player, Unpause by player
6    11:46.428      1:31:07.415    1:31:07.531    0.116                 Paused by changed dimension, Unpause by rendered
7    11:48.795      1:31:09.916    1:31:09.996    0.080                 Paused by changed dimension, Unpause by rendered
8    11:48.784      1:31:10.016    1:31:10.088    0.072                 Paused by changed dimension, Unpause by rendered
9    11:55.732      1:31:17.065    1:31:17.203    0.138                 Paused by changed dimension, Unpause by rendered
10   11:55.719      1:31:17.223    1:31:17.300    0.077                 Paused by changed dimension, Unpause by rendered
0    11:56.416      1:31:18.010    1:32:29.123    71.113                Paused by player, Unpause by rendered
0    11:57.812      1:32:30.534    1:32:33.850    3.316                 Paused by player, Unpause by rendered
1    11:59.410      1:32:35.481    1:32:35.536    0.055                 Paused by changed dimension, Unpause by rendered
2    12:00.586      1:32:36.717    1:32:47.567    10.850     10.850     Paused by player, Unpause by player
3    12:01.236      1:32:48.199    1:33:31.630    43.431     43.431     Paused by player, Unpause by player
4    12:02.836      1:33:33.230    1:33:33.729    0.499      0.499      Paused by player, Unpause by player
5    12:05.036      1:33:35.928    1:38:58.857    322.929    322.929    Paused by player, Unpause by player
6    12:05.586      1:38:59.378    1:38:59.466    0.088                 Paused by changed dimension, Unpause by rendered
7    12:17.683      1:39:11.577    1:39:11.642    0.065                 Paused by changed dimension, Unpause by moved mouse
8    12:18.440      1:39:12.404    1:39:14.809    2.405      2.405      Paused by player, Unpause by player
9    12:20.840      1:39:17.178    1:39:17.304    0.126                 Paused by changed dimension, Unpause by rendered
10   12:26.896      1:39:23.378    1:39:23.462    0.084                 Paused by changed dimension, Unpause by rendered
11   12:27.925      1:39:24.494    1:39:34.626    10.132     10.132     Paused by player, Unpause by player
12   12:32.975      1:39:39.656    1:39:45.862    6.206      6.206      Paused by player, Unpause by player
13   12:33.425      1:39:46.328    1:39:46.413    0.085                 Paused by changed dimension, Unpause by changed look direction
14   12:49.036      1:40:01.978    1:40:02.015    0.037                 Paused by changed dimension, Unpause by moved mouse
15   12:49.579      1:40:02.560    1:40:06.560    4.000      4.000      Paused by player, Unpause by player
16   12:50.129      1:40:07.127    1:40:07.248    0.121                 Paused by changed dimension, Unpause by rendered
17   13:05.891      1:40:23.029    1:40:23.093    0.064                 Paused by changed dimension, Unpause by moved mouse
18   13:06.702      1:40:23.905    1:41:08.303    44.398     44.398     Paused by player, Unpause by player
19   13:07.402      1:41:08.977    1:41:09.104    0.127                 Paused by changed dimension, Unpause by rendered
0    13:27.905      1:41:29.613    1:42:47.785    78.172                Paused by player, Unpause by rendered
1    15:00.802      1:44:20.676    1:44:21.242    0.566      0.566      Paused by player, Unpause by player
2    15:18.152      1:44:38.575    1:44:39.913    1.338      1.338      Paused by player, Unpause by player
3    15:25.002      1:44:46.739    1:44:48.360    1.621      1.621      Paused by player, Unpause by player
4    16:58.202      1:46:21.516    1:46:27.373    5.857      5.857      Paused by player, Unpause by player
5    16:58.552      1:46:27.721    1:46:40.668    12.947     12.947     Paused by player, Unpause by player
6    17:02.752      1:46:44.865    1:46:48.287    3.422      3.422      Paused by player, Unpause by player
7    17:06.252      1:46:51.764    1:46:56.905    5.141      5.141      Paused by player, Unpause by player
8    17:12.202      1:47:02.834    1:47:05.568    2.734      2.734      Paused by player, Unpause by player
9    17:25.302      1:47:18.671    1:47:19.553    0.882      0.882      Paused by player, Unpause by player
10   17:26.802      1:47:21.018    1:47:21.772    0.754      0.754      Paused by player, Unpause by player
11   17:27.702      1:47:22.633    1:47:23.864    1.231      1.231      Paused by player, Unpause by player
12   17:31.752      1:47:27.893    1:47:30.985    3.092      3.092      Paused by player, Unpause by player
13   17:32.302      1:47:31.521    1:47:33.128    1.607      1.607      Paused by player, Unpause by player
14   17:32.702      1:47:33.505    1:47:36.529    3.024      3.024      Paused by player, Unpause by player
15   17:36.052      1:47:39.874    1:47:40.880    1.006      1.006      Paused by player, Unpause by player
16   17:42.702      1:47:47.519    1:48:07.391    19.872     19.872     Paused by player, Unpause by player
17   18:00.602      1:48:25.262    1:48:36.521    11.259     11.259     Paused by player, Unpause by player
18   18:04.852      1:48:40.732    1:48:43.926    3.194      3.194      Paused by player, Unpause by player
19   18:08.752      1:48:47.787    1:49:01.094    13.307     13.307     Paused by player, Unpause by player
20   19:43.102      1:50:35.448    1:50:49.443    13.995     13.995     Paused by player, Unpause by player
21   21:27.952      1:52:34.297    1:52:34.993    0.696      0.696      Paused by player, Unpause by player
22   21:33.052      1:52:40.094    1:52:40.521    0.427      0.427      Paused by player, Unpause by player
23   22:38.902      1:53:46.345    1:53:47.810    1.465      1.465      Paused by player, Unpause by player
24   22:40.402      1:53:49.268    1:53:49.654    0.386      0.386      Paused by player, Unpause by player
25   22:40.752      1:53:49.975    1:53:55.353    5.378      5.378      Paused by player, Unpause by player
26   22:44.852      1:53:59.440    1:54:04.307    4.867      4.867      Paused by player, Unpause by player
27   23:55.102      1:55:14.520    1:55:16.338    1.818      1.818      Paused by player, Unpause by player
28   23:59.052      1:55:20.280    1:55:26.043    5.763      5.763      Paused by player, Unpause by player
29   24:10.502      1:55:37.472    1:55:40.508    3.036      3.036      Paused by player, Unpause by player
30   24:42.252      1:56:12.251    1:56:12.830    0.579      0.579      Paused by player, Unpause by player
31   24:53.702      1:56:24.244    1:56:24.822    0.578      0.578      Paused by player, Unpause by player
32   25:08.702      1:56:39.808    1:56:45.757    5.949      5.949      Paused by player, Unpause by player
33   26:09.702      1:57:46.741    1:57:47.753    1.012      1.012      Paused by player, Unpause by player
34   26:14.002      1:57:52.029    1:57:53.078    1.049      1.049      Paused by player, Unpause by player
35   26:14.502      1:57:53.551    1:57:56.423    2.872      2.872      Paused by player, Unpause by player
0    26:17.652      1:57:59.604    2:00:03.290    123.686               Paused by player, Unpause by rendered
1    26:21.450      2:00:07.079    2:00:08.346    1.267      1.267      Paused by player, Unpause by player
2    26:21.700      2:00:08.597    2:00:09.830    1.233      1.233      Paused by player, Unpause by player
3    28:19.000      2:02:07.096    2:02:10.430    3.334      3.334      Paused by player, Unpause by player
4    29:07.300      2:02:58.713    2:02:59.293    0.580      0.580      Paused by player, Unpause by player
5    29:15.800      2:03:07.812    2:03:09.125    1.313      1.313      Paused by player, Unpause by player
6    30:22.150      2:04:15.464    2:04:16.505    1.041      1.041      Paused by player, Unpause by player
7    30:30.000      2:04:24.353    2:04:30.678    6.325      6.325      Paused by player, Unpause by player
8    30:51.450      2:04:52.100    2:04:54.991    2.891      2.891      Paused by player, Unpause by player
9    31:56.250      2:05:59.772    2:06:11.855    12.083     12.083     Paused by player, Unpause by player
10   32:05.500      2:06:21.099    2:06:28.363    7.264      7.264      Paused by player, Unpause by player
11   32:19.950      2:06:42.834    2:09:05.681    142.847    142.847    Paused by player, Unpause by player
12   32:38.700      2:09:24.454    2:10:51.466    87.012     87.012     Paused by player, Unpause by player
13   32:53.700      2:11:06.444    2:11:10.946    4.502      4.502      Paused by player, Unpause by player
14   37:43.450      2:16:00.690    2:16:11.743    11.053     11.053     Paused by player, Unpause by player
15   37:47.850      2:16:16.143    2:16:20.043    3.900      3.900      Paused by player, Unpause by player
16   37:51.200      2:16:23.414    2:16:52.844    29.430     29.430     Paused by player, Unpause by player
17   38:18.000      2:17:19.640    2:18:26.452    66.812     66.812     Paused by player, Unpause by player
18   38:21.200      2:18:29.680    2:18:33.109    3.429      3.429      Paused by player, Unpause by player
19   41:00.000      2:21:11.887    2:21:30.968    19.081     19.081     Paused by player, Unpause by player
20   41:18.850      2:21:49.835    2:22:21.406    31.571     31.571     Paused by player, Unpause by player
0    41:39.900      2:22:42.464    2:35:20.350    757.886               Paused by player, Unpause by changed look direction
1    41:46.552      2:35:26.996    2:37:35.405    128.409    128.409    Paused by player, Unpause by player
2    43:11.802      2:39:00.665    2:39:03.732    3.067      3.067      Paused by player, Unpause by player
3    45:52.452      2:41:44.358    2:42:46.204    61.846     61.846     Paused by player, Unpause by player
4    45:57.252      2:42:51.011    2:43:17.210    26.199     26.199     Paused by player, Unpause by player
5    46:15.202      2:43:35.166    2:43:36.992    1.826      1.826      Paused by player, Unpause by player
6    46:36.652      2:43:58.443    2:44:00.171    1.728      1.728      Paused by player, Unpause by player
7    46:55.802      2:44:19.288    2:44:25.861    6.573      6.573      Paused by player, Unpause by player
8    46:56.402      2:44:26.451    2:44:30.459    4.008      4.008      Paused by player, Unpause by player
9    47:04.852      2:44:38.891    2:44:40.711    1.820      1.820      Paused by player, Unpause by player
10   47:05.702      2:44:41.559    2:44:43.983    2.424      2.424      Paused by player, Unpause by player
11   47:06.102      2:44:44.359    2:44:45.949    1.590      1.590      Paused by player, Unpause by player
12   47:06.402      2:44:46.233    2:44:46.798    0.565      0.565      Paused by player, Unpause by player
13   47:06.902      2:44:47.312    2:45:10.878    23.566     23.566     Paused by player, Unpause by player
14   47:23.902      2:45:27.839    2:45:39.055    11.216     11.216     Paused by player, Unpause by player
15   47:40.152      2:45:55.300    2:46:05.813    10.513     10.513     Paused by player, Unpause by player
16   47:51.502      2:46:17.138    2:46:23.211    6.073      6.073      Paused by player, Unpause by player
17   48:03.152      2:46:34.866    2:46:44.310    9.444      9.444      Paused by player, Unpause by player
18   48:03.702      2:46:44.819    2:46:53.931    9.112      9.112      Paused by player, Unpause by player
19   48:04.802      2:46:55.024    2:46:55.787    0.763      0.763      Paused by player, Unpause by player
20   48:15.602      2:47:06.564    2:47:18.189    11.625     11.625     Paused by player, Unpause by player
21   48:16.352      2:47:18.943    2:47:20.161    1.218      1.218      Paused by player, Unpause by player
22   48:34.852      2:47:38.643    2:47:48.352    9.709      9.709      Paused by player, Unpause by player
23   48:40.602      2:47:54.113    2:48:19.100    24.987     24.987     Paused by player, Unpause by player
24   48:52.052      2:48:30.527    2:48:31.608    1.081      1.081      Paused by player, Unpause by player
25   49:04.952      2:48:44.512    2:48:47.311    2.799      2.799      Paused by player, Unpause by player
26   49:11.702      2:48:54.063    2:48:56.909    2.846      2.846      Paused by player, Unpause by player
27   49:12.202      2:48:57.406    2:49:01.295    3.889      3.889      Paused by player, Unpause by player
28   49:18.552      2:49:07.607    2:49:13.415    5.808      5.808      Paused by player, Unpause by player
29   50:08.452      2:50:03.316    2:50:07.896    4.580      4.580      Paused by player, Unpause by player
30   50:08.902      2:50:08.317    2:50:10.726    2.409      2.409      Paused by player, Unpause by player
31   50:13.502      2:50:15.284    2:50:29.344    14.060     14.060     Paused by player, Unpause by player
32   50:25.902      2:50:41.743    2:50:43.311    1.568      1.568      Paused by player, Unpause by player
33   50:40.752      2:50:58.153    2:52:28.740    90.587     90.587     Paused by player, Unpause by player
34   50:44.152      2:52:32.134    2:52:48.465    16.331     16.331     Paused by player, Unpause by player
35   50:55.902      2:53:00.201    2:53:09.250    9.049      9.049      Paused by player, Unpause by player
36   51:00.202      2:53:13.510    2:53:17.424    3.914      3.914      Paused by player, Unpause by player
37   51:05.652      2:53:22.900    2:54:27.886    64.986     64.986     Paused by player, Unpause by player
38   51:08.802      2:54:30.994    2:54:33.148    2.154      2.154      Paused by player, Unpause by player
39   51:10.152      2:54:34.469    2:54:35.113    0.644      0.644      Paused by player, Unpause by player
40   51:11.002      2:54:35.937    2:54:36.835    0.898      0.898      Paused by player, Unpause by player
41   51:11.502      2:54:37.306    2:54:44.828    7.522      7.522      Paused by player, Unpause by player
